fetchWidth,decodeWidth,numFetchBufferEntries,numRobEntries,numRasEntries,numIntPhysRegisters,numFpPhysRegisters,numLdqEntries,numStqEntries,maxBrCount,mem_issueWidth,int_issueWidth,fp_issueWidth,DCacheParams_nWays,DCacheParams_nMSHRs,DCacheParams_nTLBEntries,ICacheParams_nWays,ICacheParams_nTLBEntries,ICacheParams_fetchBytes,cycle,power,time
4 4 32 128 24 112 112 32 32 8 1 3 1 8 8 32 2 8 2,69559.0000,0.0842,44121.4466
4 1 40 64 32 112 112 8 8 8 1 3 1 8 8 32 2 32 2,75134.5000,0.0562,21225.4436
4 1 16 130 32 112 112 16 16 12 1 1 1 2 4 16 8 16 2,81519.0000,0.0612,21246.8989
4 1 16 128 16 112 112 16 16 16 2 4 2 4 2 16 4 32 2,78719.0000,0.0706,21337.1402
4 1 40 128 16 112 112 32 32 12 2 2 2 2 8 16 8 16 2,80690.5000,0.0698,21521.0324
4 1 32 130 16 112 112 16 16 20 1 3 1 8 2 16 8 16 2,75987.0000,0.0693,21526.2170
4 1 16 64 32 112 112 24 24 20 2 2 2 4 8 8 4 16 2,78729.5000,0.0721,21528.7800
4 1 35 64 16 112 112 16 16 12 1 3 1 2 8 16 2 16 2,80995.5000,0.0587,21552.0924
4 1 35 128 16 112 112 8 8 20 2 5 2 4 2 8 2 32 2,76127.0000,0.0735,21582.7928
4 1 40 130 24 112 112 16 16 16 1 2 1 8 2 32 4 32 2,76246.0000,0.0640,21618.7093
4 1 32 96 24 112 112 32 32 16 1 4 1 4 4 16 8 32 2,79046.0000,0.0680,21622.4731
4 1 32 64 24 112 112 16 16 12 2 2 2 8 8 32 2 8 2,78358.5000,0.0652,21680.8082
4 1 16 130 32 112 112 24 24 8 2 2 2 8 4 16 8 16 2,76695.0000,0.0668,21686.2043
4 1 8 130 24 112 112 24 24 20 2 2 2 8 8 16 8 16 2,75109.0000,0.0786,21728.6771
4 1 35 96 24 112 112 8 8 20 1 5 1 8 8 8 4 32 2,75131.0000,0.0703,21745.6429
4 1 40 96 32 112 112 32 32 8 1 3 1 4 4 8 2 8 2,80846.0000,0.0583,21756.9438
4 1 16 96 32 112 112 8 8 8 1 1 1 2 8 32 2 8 2,83918.5000,0.0544,21761.4833
4 1 24 130 32 112 112 24 24 16 1 2 1 2 2 8 4 8 2,79698.5000,0.0633,21775.3931
4 1 16 96 24 112 112 24 24 12 2 4 2 4 2 8 8 8 2,79444.0000,0.0678,21820.4240
4 1 8 96 16 112 112 8 8 16 2 2 2 4 2 8 2 8 2,79099.5000,0.0640,21824.5795
4 1 40 130 16 112 112 8 8 20 1 4 1 2 2 32 2 8 2,77725.5000,0.0665,21865.3463
4 1 40 64 24 112 112 16 16 20 1 2 1 2 2 16 2 8 2,78797.0000,0.0622,21900.2704
4 2 32 64 16 112 112 16 16 12 2 5 2 4 2 32 8 16 2,72628.0000,0.0717,28455.7160
4 2 8 128 16 112 112 16 16 20 1 5 1 2 2 16 2 16 2,75642.0000,0.0743,28500.4394
4 2 24 128 16 112 112 8 8 8 2 1 2 4 8 8 8 32 2,77444.5000,0.0648,28510.4952
4 2 24 64 24 112 112 24 24 20 1 5 1 4 2 16 2 16 2,73087.5000,0.0741,28538.3686
4 2 24 64 32 112 112 16 16 8 2 3 2 8 2 16 4 16 2,70934.0000,0.0656,28592.7117
4 2 8 128 16 112 112 24 24 16 2 4 2 8 4 16 8 8 2,69616.5000,0.0811,28602.2036
4 2 16 96 32 112 112 32 32 20 2 3 2 2 8 8 8 16 2,73089.0000,0.0827,28618.0188
4 2 8 32 16 112 112 32 32 20 1 5 1 8 4 16 8 16 2,72946.0000,0.0766,28626.4785
4 2 32 32 16 112 112 32 32 16 1 3 1 8 2 16 4 8 2,73032.0000,0.0696,28637.0923
4 2 40 130 16 112 112 24 24 8 1 1 1 8 8 8 8 32 2,71596.0000,0.0660,28652.0391
4 2 16 96 32 112 112 32 32 12 2 3 2 4 8 8 4 16 2,71097.0000,0.0742,28663.4965
4 2 32 130 16 112 112 16 16 20 1 4 1 4 4 8 4 16 2,72115.5000,0.0759,28671.2330
4 2 8 130 32 112 112 8 8 12 1 2 1 2 8 32 4 16 2,78578.5000,0.0626,28675.8163
4 2 40 32 16 112 112 32 32 12 1 2 1 4 4 16 8 32 2,75296.5000,0.1041,28697.5884
4 2 24 130 16 112 112 8 8 8 1 1 1 4 2 16 8 16 2,77904.5000,0.0587,28701.0719
4 2 32 130 24 112 112 8 8 8 2 5 2 2 2 32 2 32 2,77925.0000,0.0658,28722.6906
4 2 32 128 16 112 112 24 24 8 1 1 1 4 4 8 4 32 2,73328.0000,0.0621,28777.5906
